date,geo,Asphalt/concrete work,Driveway sealing,Gutter cleaning,Junk removal,Pressure washing,Soft washing,Tree service,Window cleaning
2021-01-17,IA,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
2021-01-17,ID,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
2021-01-17,IL,0.0,0.0,10.0,30.0,17.0,0.0,34.0,16.0
2021-01-17,IN,0.0,0.0,30.0,47.0,0.0,0.0,38.0,36.0
2021-01-17,KS,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
2021-01-17,KY,0.0,0.0,0.0,0.0,12.0,0.0,26.0,0.0
2021-01-17,LA,0.0,0.0,0.0,0.0,29.0,0.0,24.0,0.0
2021-01-17,MA,0.0,0.0,0.0,32.0,0.0,0.0,46.0,0.0
2021-01-17,MD,0.0,0.0,7.0,26.0,0.0,0.0,38.0,0.0
2021-01-17,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,MI,0.0,0.0,0.0,37.0,0.0,81.0,25.0,0.0
2021-01-17,MN,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0
2021-01-17,MO,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
2021-01-17,MS,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
2021-01-17,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,NC,0.0,100.0,23.0,29.0,35.0,0.0,59.0,27.0
2021-01-17,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,NE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
2021-01-17,NH,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
2021-01-17,NJ,0.0,0.0,0.0,30.0,20.0,0.0,44.0,0.0
2021-01-17,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,NV,0.0,0.0,0.0,0.0,0.0,0.0,33.0,39.0
2021-01-17,NY,0.0,0.0,39.0,22.0,17.0,0.0,27.0,25.0
2021-01-17,OH,0.0,0.0,0.0,31.0,16.0,0.0,28.0,19.0
2021-01-17,OK,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
2021-01-17,OR,0.0,0.0,24.0,23.0,0.0,100.0,31.0,0.0
2021-01-17,PA,0.0,0.0,25.0,22.0,21.0,0.0,32.0,34.0
2021-01-17,RI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,SC,0.0,0.0,0.0,0.0,26.0,0.0,22.0,24.0
2021-01-17,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,TN,0.0,0.0,0.0,24.0,15.0,0.0,48.0,18.0
2021-01-17,TX,0.0,0.0,21.0,30.0,35.0,0.0,40.0,35.0
2021-01-17,UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2021-01-17,VA,0.0,0.0,25.0,10.0,24.0,0.0,50.0,38.0
2021-01-17,VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,WA,0.0,0.0,17.0,49.0,28.0,0.0,68.0,34.0
2021-01-17,WI,0.0,0.0,0.0,30.0,0.0,0.0,28.0,0.0
2021-01-17,WV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,AL,0.0,0.0,0.0,0.0,32.0,0.0,62.0,59.0
2021-01-24,AR,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
2021-01-24,AZ,0.0,0.0,0.0,21.0,18.0,0.0,35.0,19.0
2021-01-24,CA,0.0,0.0,54.0,36.0,16.0,0.0,78.0,34.0
2021-01-24,CO,82.0,0.0,0.0,40.0,0.0,0.0,16.0,23.0
2021-01-24,CT,0.0,0.0,46.0,36.0,0.0,0.0,40.0,0.0
2021-01-24,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,FL,0.0,0.0,21.0,32.0,52.0,56.0,49.0,50.0
2021-01-24,GA,0.0,0.0,34.0,43.0,24.0,0.0,50.0,40.0
2021-01-24,HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,IA,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
2021-01-24,ID,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2021-01-24,IL,0.0,0.0,11.0,31.0,20.0,0.0,32.0,22.0
2021-01-24,IN,0.0,0.0,29.0,28.0,0.0,0.0,37.0,0.0
2021-01-24,KS,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0
2021-01-24,KY,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
