GEO_ID,Geography,Homeownership%,MedianIncome,LargeHH%,OldHouse%
860Z200US02791,ZCTA5 02791,0.969,104712.0,0.777,0.691
860Z200US02804,ZCTA5 02804,0.931,101392.0,0.367,0.658
860Z200US02806,ZCTA5 02806,0.931,150542.0,0.352,0.726
860Z200US02813,ZCTA5 02813,0.899,103147.0,0.384,0.543
860Z200US02814,ZCTA5 02814,0.85,109632.0,0.323,0.571
860Z200US02816,ZCTA5 02816,0.754,97941.0,0.437,0.58
860Z200US02817,ZCTA5 02817,0.822,137485.0,0.274,0.659
860Z200US02818,ZCTA5 02818,0.677,120952.0,0.415,0.632
860Z200US02824,ZCTA5 02824,0.809,158438.0,0.273,0.502
860Z200US02825,ZCTA5 02825,0.919,110177.0,0.258,0.559
860Z200US02826,ZCTA5 02826,0.833,75347.0,0.377,0.588
860Z200US02827,ZCTA5 02827,1.0,135139.0,0.342,0.683
860Z200US02828,ZCTA5 02828,0.743,94746.0,0.483,0.574
860Z200US02830,ZCTA5 02830,0.724,121611.0,0.384,0.551
860Z200US02831,ZCTA5 02831,0.949,135106.0,0.291,0.719
860Z200US02832,ZCTA5 02832,0.771,101225.0,0.331,0.539
860Z200US02835,ZCTA5 02835,0.906,141442.0,0.341,0.696
860Z200US02837,ZCTA5 02837,0.966,129750.0,0.363,0.618
860Z200US02852,ZCTA5 02852,0.627,112457.0,0.467,0.546
860Z200US02857,ZCTA5 02857,0.914,108813.0,0.323,0.648
860Z200US02859,ZCTA5 02859,0.727,118662.0,0.344,0.572
860Z200US02864,ZCTA5 02864,0.688,118737.0,0.366,0.577
860Z200US02865,ZCTA5 02865,0.679,117042.0,0.503,0.558
860Z200US02871,ZCTA5 02871,0.74,119135.0,0.406,0.609
860Z200US02874,ZCTA5 02874,0.972,155099.0,0.391,0.754
860Z200US02878,ZCTA5 02878,0.712,99542.0,0.379,0.572
860Z200US02879,ZCTA5 02879,0.794,115848.0,0.394,0.522
860Z200US02882,ZCTA5 02882,0.824,95794.0,0.569,0.559
860Z200US02889,ZCTA5 02889,0.805,85617.0,0.454,0.524
860Z200US02891,ZCTA5 02891,0.679,90435.0,0.47,0.561
860Z200US02892,ZCTA5 02892,0.912,143534.0,0.263,0.708
860Z200US02896,ZCTA5 02896,0.73,109436.0,0.383,0.628
860Z200US02898,ZCTA5 02898,0.742,124083.0,0.339,0.736
860Z200US02910,ZCTA5 02910,0.688,85909.0,0.498,0.59
860Z200US02916,ZCTA5 02916,0.612,96293.0,0.513,0.551
860Z200US02917,ZCTA5 02917,0.631,106772.0,0.401,0.518
860Z200US02921,ZCTA5 02921,0.804,135500.0,0.257,0.612
860Z200US03031,ZCTA5 03031,0.882,155125.0,0.321,0.8
860Z200US03034,ZCTA5 03034,0.941,122356.0,0.264,0.684
860Z200US03036,ZCTA5 03036,0.856,138606.0,0.287,0.8
860Z200US03037,ZCTA5 03037,0.871,126063.0,0.314,0.573
860Z200US03042,ZCTA5 03042,0.733,101354.0,0.331,0.63
860Z200US03043,ZCTA5 03043,0.918,96094.0,0.292,0.677
860Z200US03044,ZCTA5 03044,0.824,125774.0,0.469,0.666
860Z200US03045,ZCTA5 03045,0.706,114965.0,0.326,0.596
860Z200US03046,ZCTA5 03046,0.934,134205.0,0.267,0.605
860Z200US03047,ZCTA5 03047,0.871,99038.0,0.263,0.603
860Z200US03049,ZCTA5 03049,0.884,156140.0,0.267,0.766
860Z200US03051,ZCTA5 03051,0.693,124973.0,0.334,0.559
